step time Total Potential Kinetic Kinetic_1 Kinetic_2 Kinetic_3
0 0 -0.032978 -0.0658756 0.0328976 0 0.0197392 0.0131585
1 0.001 -0.0329761 -0.0658747 0.0328986 1.62586e-09 0.0197399 0.0131586
2 0.002 -0.0329743 -0.0658738 0.0328995 6.50317e-09 0.0197407 0.0131588
3 0.003 -0.0329724 -0.0658728 0.0329004 1.46315e-08 0.0197415 0.0131589
4 0.004 -0.0329705 -0.0658719 0.0329013 2.60102e-08 0.0197422 0.0131591
5 0.005 -0.0329687 -0.0658709 0.0329022 4.06386e-08 0.0197429 0.0131593
6 0.006 -0.0329668 -0.06587 0.0329032 5.85158e-08 0.0197436 0.0131595
7 0.007 -0.0329649 -0.065869 0.0329041 7.9641e-08 0.0197443 0.0131597
8 0.008 -0.0329631 -0.065868 0.032905 1.04013e-07 0.0197449 0.0131599
9 0.009 -0.0329612 -0.0658671 0.0329059 1.31631e-07 0.0197456 0.0131601
10 0.01 -0.0329594 -0.0658661 0.0329067 1.62493e-07 0.0197462 0.0131604
11 0.011 -0.0329575 -0.0658651 0.0329076 1.96598e-07 0.0197469 0.0131606
12 0.012 -0.0329556 -0.0658641 0.0329085 2.33944e-07 0.0197475 0.0131608
13 0.013 -0.0329538 -0.0658632 0.0329094 2.74531e-07 0.019748 0.0131611
14 0.014 -0.0329519 -0.0658622 0.0329103 3.18355e-07 0.0197486 0.0131613
15 0.015 -0.03295 -0.0658612 0.0329111 3.65415e-07 0.0197492 0.0131616
16 0.016 -0.0329482 -0.0658602 0.032912 4.1571e-07 0.0197497 0.0131618
17 0.017 -0.0329463 -0.0658592 0.0329128 4.69237e-07 0.0197503 0.0131621
18 0.018 -0.0329444 -0.0658581 0.0329137 5.25993e-07 0.0197508 0.0131624
19 0.019 -0.0329426 -0.0658571 0.0329145 5.85977e-07 0.0197513 0.0131627
20 0.02 -0.0329407 -0.0658561 0.0329154 6.49185e-07 0.0197518 0.013163
21 0.021 -0.0329389 -0.0658551 0.0329162 7.15616e-07 0.0197522 0.0131633
22 0.022 -0.032937 -0.065854 0.032917 7.85266e-07 0.0197527 0.0131636
23 0.023 -0.0329351 -0.065853 0.0329179 8.58134e-07 0.0197531 0.0131639
24 0.024 -0.0329333 -0.065852 0.0329187 9.34215e-07 0.0197535 0.0131642
25 0.025 -0.0329314 -0.0658509 0.0329195 1.01351e-06 0.0197539 0.0131646
26 0.026 -0.0329295 -0.0658498 0.0329203 1.09601e-06 0.0197543 0.0131649
27 0.027 -0.0329277 -0.0658488 0.0329211 1.18171e-06 0.0197547 0.0131652
28 0.028 -0.0329258 -0.0658477 0.0329219 1.27061e-06 0.0197551 0.0131656
29 0.029 -0.032924 -0.0658467 0.0329227 1.36272e-06 0.0197554 0.0131659
30 0.03 -0.0329221 -0.0658456 0.0329235 1.45801e-06 0.0197557 0.0131663
31 0.031 -0.0329202 -0.0658445 0.0329243 1.5565e-06 0.019756 0.0131667
32 0.032 -0.0329184 -0.0658434 0.032925 1.65817e-06 0.0197563 0.013167
33 0.033 -0.0329165 -0.0658423 0.0329258 1.76302e-06 0.0197566 0.0131674
34 0.034 -0.0329146 -0.0658412 0.0329266 1.87105e-06 0.0197569 0.0131678
35 0.035 -0.0329128 -0.0658401 0.0329273 1.98226e-06 0.0197571 0.0131682
36 0.036 -0.0329109 -0.065839 0.0329281 2.09663e-06 0.0197574 0.0131686
37 0.037 -0.0329091 -0.0658379 0.0329288 2.21417e-06 0.0197576 0.013169
38 0.038 -0.0329072 -0.0658368 0.0329296 2.33487e-06 0.0197578 0.0131694
39 0.039 -0.0329053 -0.0658356 0.0329303 2.45872e-06 0.019758 0.0131698
40 0.04 -0.0329035 -0.0658345 0.032931 2.58573e-06 0.0197582 0.0131702
41 0.041 -0.0329016 -0.0658334 0.0329317 2.71588e-06 0.0197584 0.0131707
42 0.042 -0.0328998 -0.0658322 0.0329325 2.84917e-06 0.0197585 0.0131711
43 0.043 -0.0328979 -0.0658311 0.0329332 2.9856e-06 0.0197586 0.0131715
44 0.044 -0.032896 -0.0658299 0.0329339 3.12516e-06 0.0197588 0.013172
45 0.045 -0.0328942 -0.0658287 0.0329346 3.26784e-06 0.0197589 0.0131724
46 0.046 -0.0328923 -0.0658276 0.0329353 3.41365e-06 0.019759 0.0131729
47 0.047 -0.0328905 -0.0658264 0.0329359 3.56256e-06 0.0197591 0.0131733
48 0.048 -0.0328886 -0.0658252 0.0329366 3.71459e-06 0.0197591 0.0131738
49 0.049 -0.0328867 -0.065824 0.0329373 3.86971e-06 0.0197592 0.0131743
50 0.05 -0.0328849 -0.0658229 0.032938 4.02794e-06 0.0197592 0.0131747
51 0.051 -0.032883 -0.0658217 0.0329386 4.18925e-06 0.0197592 0.0131752
52 0.052 -0.0328812 -0.0658205 0.0329393 4.35365e-06 0.0197593 0.0131757
53 0.053 -0.0328793 -0.0658193 0.03294 4.52113e-06 0.0197593 0.0131762
54 0.054 -0.0328774 -0.065818 0.0329406 4.69167e-06 0.0197592 0.0131767
