step time Total Potential Kinetic Kinetic_1 Kinetic_2 Kinetic_3
0 0.001 -0.0329778 -0.0658756 0.0328979 4.06464e-10 0.0197394 0.0131585
1 0.002 -0.0329778 -0.0658756 0.0328979 3.65815e-09 0.0197394 0.0131585
2 0.003 -0.0329778 -0.0658756 0.0328978 1.01614e-08 0.0197393 0.0131585
3 0.004 -0.0329778 -0.0658756 0.0328978 1.9916e-08 0.0197393 0.0131585
4 0.005 -0.0329778 -0.0658756 0.0328978 3.29215e-08 0.0197392 0.0131586
5 0.006 -0.0329778 -0.0658756 0.0328978 4.91776e-08 0.0197391 0.0131586
6 0.007 -0.0329778 -0.0658755 0.0328978 6.86835e-08 0.0197391 0.0131586
7 0.008 -0.0329778 -0.0658755 0.0328977 9.14387e-08 0.019739 0.0131587
8 0.009 -0.0329778 -0.0658755 0.0328977 1.17442e-07 0.0197388 0.0131588
9 0.01 -0.0329778 -0.0658755 0.0328977 1.46693e-07 0.0197387 0.0131588
10 0.011 -0.0329778 -0.0658754 0.0328976 1.7919e-07 0.0197386 0.0131589
11 0.012 -0.0329778 -0.0658754 0.0328976 2.14933e-07 0.0197384 0.013159
12 0.013 -0.0329778 -0.0658753 0.0328975 2.53919e-07 0.0197382 0.0131591
13 0.014 -0.0329778 -0.0658753 0.0328975 2.96148e-07 0.019738 0.0131592
14 0.015 -0.0329778 -0.0658752 0.0328974 3.41618e-07 0.0197378 0.0131593
15 0.016 -0.0329778 -0.0658752 0.0328974 3.90327e-07 0.0197376 0.0131594
16 0.017 -0.0329778 -0.0658751 0.0328973 4.42274e-07 0.0197374 0.0131595
17 0.018 -0.0329778 -0.065875 0.0328972 4.97456e-07 0.0197371 0.0131596
18 0.019 -0.0329778 -0.065875 0.0328972 5.55872e-07 0.0197369 0.0131598
19 0.02 -0.0329778 -0.0658749 0.0328971 6.17519e-07 0.0197366 0.0131599
20 0.021 -0.0329778 -0.0658748 0.032897 6.82395e-07 0.0197363 0.01316
21 0.022 -0.0329778 -0.0658748 0.0328969 7.50499e-07 0.019736 0.0131602
22 0.023 -0.0329778 -0.0658747 0.0328969 8.21826e-07 0.0197357 0.0131603
23 0.024 -0.0329778 -0.0658746 0.0328968 8.96376e-07 0.0197354 0.0131605
24 0.025 -0.0329778 -0.0658745 0.0328967 9.74145e-07 0.019735 0.0131607
25 0.026 -0.0329778 -0.0658744 0.0328966 1.05513e-06 0.0197347 0.0131609
26 0.027 -0.0329778 -0.0658743 0.0328965 1.13933e-06 0.0197343 0.0131611
27 0.028 -0.0329778 -0.0658742 0.0328964 1.22674e-06 0.0197339 0.0131612
28 0.029 -0.0329778 -0.0658741 0.0328963 1.31735e-06 0.0197335 0.0131614
29 0.03 -0.0329778 -0.065874 0.0328962 1.41117e-06 0.0197331 0.0131617
30 0.031 -0.0329778 -0.0658739 0.0328961 1.50819e-06 0.0197327 0.0131619
31 0.032 -0.0329778 -0.0658738 0.032896 1.60841e-06 0.0197323 0.0131621
32 0.033 -0.0329778 -0.0658737 0.0328959 1.71182e-06 0.0197318 0.0131623
33 0.034 -0.0329778 -0.0658736 0.0328957 1.81842e-06 0.0197314 0.0131625
34 0.035 -0.0329778 -0.0658734 0.0328956 1.9282e-06 0.0197309 0.0131628
35 0.036 -0.0329778 -0.0658733 0.0328955 2.04117e-06 0.0197304 0.013163
36 0.037 -0.0329778 -0.0658732 0.0328954 2.15732e-06 0.0197299 0.0131633
37 0.038 -0.0329778 -0.0658731 0.0328953 2.27663e-06 0.0197294 0.0131635
38 0.039 -0.0329778 -0.065873 0.0328951 2.39912e-06 0.0197289 0.0131638
39 0.04 -0.0329778 -0.0658728 0.032895 2.52477e-06 0.0197284 0.0131641
40 0.041 -0.0329778 -0.0658727 0.0328949 2.65358e-06 0.0197279 0.0131643
41 0.042 -0.0329778 -0.0658726 0.0328947 2.78555e-06 0.0197273 0.0131646
42 0.043 -0.0329778 -0.0658724 0.0328946 2.92067e-06 0.0197268 0.0131649
43 0.044 -0.0329778 -0.0658723 0.0328945 3.05893e-06 0.0197262 0.0131652
44 0.045 -0.0329778 -0.0658722 0.0328943 3.20033e-06 0.0197256 0.0131655
45 0.046 -0.0329778 -0.065872 0.0328942 3.34487e-06 0.0197251 0.0131658
46 0.047 -0.0329778 -0.0658719 0.032894 3.49254e-06 0.0197245 0.0131661
47 0.048 -0.0329778 -0.0658717 0.0328939 3.64334e-06 0.0197239 0.0131664
48 0.049 -0.0329778 -0.0658716 0.0328938 3.79725e-06 0.0197232 0.0131667
49 0.05 -0.0329778 -0.0658714 0.0328936 3.95428e-06 0.0197226 0.013167
50 0.051 -0.0329778 -0.0658713 0.0328935 4.11442e-06 0.019722 0.0131674
51 0.052 -0.0329778 -0.0658712 0.0328933 4.27766e-06 0.0197214 0.0131677
52 0.053 -0.0329778 -0.065871 0.0328932 4.44399e-06 0.0197207 0.013168
53 0.054 -0.0329778 -0.0658709 0.032893 4.61342e-06 0.01972 0.0131684
54 0.055 -0.0329778 -0.0658707 0.0328929 4.78593e-06 0.0197194 0.0131687
55 0.056 -0.0329778 -0.0658706 0.0328927 4.96152e-06 0.0197187 0.0131691
56 0.057 -0.0329778 -0.0658704 0.0328926 5.14018e-06 0.019718 0.0131694
57 0.058 -0.0329778 -0.0658703 0.0328924 5.3219e-06 0.0197173 0.0131698
58 0.059 -0.0329778 -0.0658701 0.0328923 5.50669e-06 0.0197166 0.0131701
59 0.06 -0.0329778 -0.06587 0.0328921 5.69453e-06 0.0197159 0.0131705
60 0.061 -0.0329778 -0.0658698 0.032892 5.88541e-06 0.0197152 0.0131709
61 0.062 -0.0329778 -0.0658697 0.0328918 6.07933e-06 0.0197145 0.0131712
62 0.063 -0.0329778 -0.0658695 0.0328917 6.27628e-06 0.0197138 0.0131716
63 0.064 -0.0329778 -0.0658694 0.0328915 6.47626e-06 0.0197131 0.013172
