Label_1,Label_2,Distance
1,0,0.866025
2,1,0.866025
3,2,0.866025
4,3,0.866025
5,4,0.866025
6,5,0.866025
7,0,0.866025
7,6,0.866025
8,1,0.866025
8,7,0.866025
9,8,0.866025
10,1,0.866025
10,3,0.866025
10,9,0.866025
11,10,0.866025
12,3,0.866025
12,5,0.866025
12,11,0.866025
13,12,0.866025
14,5,0.866025
14,7,0.866025
14,13,0.866025
15,8,0.866025
15,14,0.866025
16,9,0.866025
16,15,0.866025
17,16,0.866025
18,9,0.866025
18,11,0.866025
18,17,0.866025
19,18,0.866025
20,11,0.866025
20,13,0.866025
20,19,0.866025
21,20,0.866025
22,13,0.866025
22,15,0.866025
22,21,0.866025
23,16,0.866025
23,22,0.866025
24,17,0.866025
24,23,0.866025
25,0,0.866025
25,2,0.866025
25,24,0.866025
26,17,0.866025
26,19,0.866025
26,25,0.866025
27,2,0.866025
27,4,0.866025
27,26,0.866025
28,19,0.866025
28,21,0.866025
28,27,0.866025
29,4,0.866025
29,6,0.866025
29,28,0.866025
30,21,0.866025
30,23,0.866025
30,29,0.866025
31,0,0.866025
31,6,0.866025
31,24,0.866025
31,30,0.866025
32,1,0.866025
32,7,0.866025
32,25,0.866025
32,31,0.866025
33,32,0.866025
34,1,0.866025
34,3,0.866025
34,25,0.866025
34,27,0.866025
34,33,0.866025
35,34,0.866025
36,3,0.866025
36,5,0.866025
36,27,0.866025
36,29,0.866025
36,35,0.866025
37,36,0.866025
38,5,0.866025
38,7,0.866025
38,29,0.866025
38,31,0.866025
38,37,0.866025
39,32,0.866025
39,38,0.866025
40,1,0.866025
40,7,0.866025
40,9,0.866025
40,15,0.866025
40,33,0.866025
40,39,0.866025
41,40,0.866025
42,1,0.866025
42,3,0.866025
42,9,0.866025
42,11,0.866025
42,33,0.866025
42,35,0.866025
42,41,0.866025
43,42,0.866025
44,3,0.866025
44,5,0.866025
44,11,0.866025
44,13,0.866025
44,35,0.866025
44,37,0.866025
44,43,0.866025
