Label_1,Label_2,Distance
0,0,0
0,1,0.866025
0,7,0.866025
0,25,0.866025
0,31,0.866025
0,97,0.866025
0,103,0.866025
0,121,0.866025
0,127,0.866025
1,0,0.866025
1,1,0
1,2,0.866025
1,8,0.866025
1,10,0.866025
1,32,0.866025
1,34,0.866025
1,40,0.866025
1,42,0.866025
2,1,0.866025
2,2,0
2,3,0.866025
2,25,0.866025
2,27,0.866025
2,97,0.866025
2,99,0.866025
2,121,0.866025
2,123,0.866025
3,2,0.866025
3,3,0
3,4,0.866025
3,10,0.866025
3,12,0.866025
3,34,0.866025
3,36,0.866025
3,42,0.866025
3,44,0.866025
4,3,0.866025
4,4,0
4,5,0.866025
4,27,0.866025
4,29,0.866025
4,99,0.866025
4,101,0.866025
4,123,0.866025
4,125,0.866025
5,4,0.866025
5,5,0
5,6,0.866025
5,12,0.866025
5,14,0.866025
5,36,0.866025
5,38,0.866025
5,44,0.866025
5,46,0.866025
6,5,0.866025
6,6,0
6,7,0.866025
6,29,0.866025
6,31,0.866025
6,101,0.866025
6,103,0.866025
6,125,0.866025
6,127,0.866025
7,0,0.866025
7,6,0.866025
7,7,0
7,8,0.866025
7,14,0.866025
7,32,0.866025
7,38,0.866025
7,40,0.866025
7,46,0.866025
8,1,0.866025
8,7,0.866025
8,8,0
8,9,0.866025
8,15,0.866025
8,97,0.866025
8,103,0.866025
8,105,0.866025
8,111,0.866025
9,8,0.866025
9,9,0
9,10,0.866025
9,16,0.866025
9,18,0.866025
9,40,0.866025
9,42,0.866025
9,48,0.866025
9,50,0.866025
10,1,0.866025
10,3,0.866025
10,9,0.866025
10,10,0
10,11,0.866025
10,97,0.866025
10,99,0.866025
10,105,0.866025
10,107,0.866025
11,10,0.866025
11,11,0
11,12,0.866025
11,18,0.866025
11,20,0.866025
11,42,0.866025
11,44,0.866025
11,50,0.866025
11,52,0.866025
12,3,0.866025
12,5,0.866025
12,11,0.866025
12,12,0
12,13,0.866025
12,99,0.866025
12,101,0.866025
12,107,0.866025
12,109,0.866025
13,12,0.866025
13,13,0
13,14,0.866025
13,20,0.866025
13,22,0.866025
13,44,0.866025
13,46,0.866025
13,52,0.866025
13,54,0.866025
14,5,0.866025
14,7,0.866025
14,13,0.866025
14,14,0
14,15,0.866025
14,101,0.866025
14,103,0.866025
14,109,0.866025
14,111,0.866025
15,8,0.866025
15,14,0.866025
15,15,0
15,16,0.866025
15,22,0.866025
15,40,0.866025
15,46,0.866025
15,48,0.866025
15,54,0.866025
16,9,0.866025
16,15,0.866025
16,16,0
16,17,0.866025
16,23,0.866025
16,105,0.866025
16,111,0.866025
16,113,0.866025
16,119,0.866025
17,16,0.866025
17,17,0
17,18,0.866025
17,24,0.866025
17,26,0.866025
17,48,0.866025
17,50,0.866025
17,56,0.866025
17,58,0.866025
18,9,0.866025
18,11,0.866025
18,17,0.866025
18,18,0
18,19,0.866025
18,105,0.866025
18,107,0.866025
18,113,0.866025
18,115,0.866025
19,18,0.866025
19,19,0
19,20,0.866025
19,26,0.866025
19,28,0.866025
19,50,0.866025
19,52,0.866025
19,58,0.866025
19,60,0.866025
20,11,0.866025
20,13,0.866025
20,19,0.866025
20,20,0
20,21,0.866025
20,107,0.866025
20,109,0.866025
20,115,0.866025
20,117,0.866025
21,20,0.866025
21,21,0
21,22,0.866025
21,28,0.866025
21,30,0.866025
21,52,0.866025
21,54,0.866025
21,60,0.866025
21,62,0.866025
22,13,0.866025
22,15,0.866025
22,21,0.866025
22,22,0
22,23,0.866025
22,109,0.866025
22,111,0.866025
22,117,0.866025
22,119,0.866025
23,16,0.866025
23,22,0.866025
23,23,0
23,24,0.866025
23,30,0.866025
23,48,0.866025
23,54,0.866025
23,56,0.866025
23,62,0.866025
24,17,0.866025
24,23,0.866025
24,24,0
24,25,0.866025
24,31,0.866025
24,113,0.866025
24,119,0.866025
24,121,0.866025
24,127,0.866025
25,0,0.866025
25,2,0.866025
25,24,0.866025
25,25,0
25,26,0.866025
25,32,0.866025
25,34,0.866025
25,56,0.866025
25,58,0.866025
26,17,0.866025
26,19,0.866025
26,25,0.866025
26,26,0
26,27,0.866025
26,113,0.866025
26,115,0.866025
26,121,0.866025
26,123,0.866025
27,2,0.866025
27,4,0.866025
27,26,0.866025
27,27,0
27,28,0.866025
27,34,0.866025
27,36,0.866025
27,58,0.866025
27,60,0.866025
28,19,0.866025
28,21,0.866025
28,27,0.866025
28,28,0
28,29,0.866025
28,115,0.866025
28,117,0.866025
28,123,0.866025
28,125,0.866025
29,4,0.866025
29,6,0.866025
29,28,0.866025
29,29,0
29,30,0.866025
29,36,0.866025
29,38,0.866025
29,60,0.866025
29,62,0.866025
30,21,0.866025
30,23,0.866025
30,29,0.866025
30,30,0
30,31,0.866025
30,117,0.866025
30,119,0.866025
30,125,0.866025
30,127,0.866025
31,0,0.866025
31,6,0.866025
31,24,0.866025
31,30,0.866025
31,31,0
31,32,0.866025
31,38,0.866025
31,56,0.866025
31,62,0.866025
32,1,0.866025
32,7,0.866025
32,25,0.866025
32,31,0.866025
32,32,0
32,33,0.866025
32,39,0.866025
32,57,0.866025
32,63,0.866025
33,32,0.866025
33,33,0
33,34,0.866025
33,40,0.866025
33,42,0.866025
33,64,0.866025
33,66,0.866025
33,72,0.866025
33,74,0.866025
34,1,0.866025
34,3,0.866025
34,25,0.866025
34,27,0.866025
34,33,0.866025
34,34,0
34,35,0.866025
34,57,0.866025
34,59,0.866025
35,34,0.866025
35,35,0
35,36,0.866025
35,42,0.866025
35,44,0.866025
35,66,0.866025
35,68,0.866025
35,74,0.866025
35,76,0.866025
36,3,0.866025
36,5,0.866025
36,27,0.866025
36,29,0.866025
36,35,0.866025
36,36,0
36,37,0.866025
36,59,0.866025
36,61,0.866025
37,36,0.866025
37,37,0
37,38,0.866025
37,44,0.866025
37,46,0.866025
37,68,0.866025
37,70,0.866025
37,76,0.866025
37,78,0.866025
38,5,0.866025
38,7,0.866025
38,29,0.866025
38,31,0.866025
38,37,0.866025
38,38,0
38,39,0.866025
38,61,0.866025
38,63,0.866025
39,32,0.866025
39,38,0.866025
39,39,0
39,40,0.866025
39,46,0.866025
39,64,0.866025
39,70,0.866025
39,72,0.866025
39,78,0.866025
40,1,0.866025
40,7,0.866025
40,9,0.866025
40,15,0.866025
40,33,0.866025
40,39,0.866025
40,40,0
40,41,0.866025
40,47,0.866025
41,40,0.866025
41,41,0
41,42,0.866025
41,48,0.866025
41,50,0.866025
41,72,0.866025
41,74,0.866025
41,80,0.866025
41,82,0.866025
42,1,0.866025
42,3,0.866025
42,9,0.866025
42,11,0.866025
42,33,0.866025
42,35,0.866025
42,41,0.866025
42,42,0
42,43,0.866025
43,42,0.866025
43,43,0
43,44,0.866025
43,50,0.866025
43,52,0.866025
43,74,0.866025
43,76,0.866025
43,82,0.866025
43,84,0.866025
44,3,0.866025
44,5,0.866025
44,11,0.866025
44,13,0.866025
44,35,0.866025
44,37,0.866025
44,43,0.866025
44,44,0
44,45,0.866025
45,44,0.866025
45,45,0
45,46,0.866025
45,52,0.866025
45,54,0.866025
45,76,0.866025
45,78,0.866025
45,84,0.866025
45,86,0.866025
46,5,0.866025
46,7,0.866025
46,13,0.866025
46,15,0.866025
46,37,0.866025
46,39,0.866025
46,45,0.866025
46,46,0
46,47,0.866025
47,40,0.866025
47,46,0.866025
47,47,0
47,48,0.866025
47,54,0.866025
47,72,0.866025
47,78,0.866025
47,80,0.866025
47,86,0.866025
48,9,0.866025
48,15,0.866025
48,17,0.866025
48,23,0.866025
48,41,0.866025
48,47,0.866025
48,48,0
48,49,0.866025
48,55,0.866025
49,48,0.866025
49,49,0
49,50,0.866025
49,56,0.866025
49,58,0.866025
49,80,0.866025
49,82,0.866025
49,88,0.866025
49,90,0.866025
50,9,0.866025
50,11,0.866025
50,17,0.866025
50,19,0.866025
50,41,0.866025
50,43,0.866025
50,49,0.866025
50,50,0
50,51,0.866025
51,50,0.866025
51,51,0
51,52,0.866025
51,58,0.866025
51,60,0.866025
51,82,0.866025
51,84,0.866025
51,90,0.866025
51,92,0.866025
52,11,0.866025
52,13,0.866025
52,19,0.866025
52,21,0.866025
52,43,0.866025
52,45,0.866025
52,51,0.866025
52,52,0
