Label_1,Label_2,Distance
1,0,0.707107
2,0,0.707107
2,1,0.707107
3,0,0.707107
3,1,0.707107
3,2,0.707107
4,1,0.707107
4,2,0.707107
5,4,0.707107
6,4,0.707107
6,5,0.707107
7,1,0.707107
7,2,0.707107
7,4,0.707107
7,5,0.707107
7,6,0.707107
8,5,0.707107
8,6,0.707107
9,8,0.707107
10,8,0.707107
10,9,0.707107
11,5,0.707107
11,6,0.707107
11,8,0.707107
11,9,0.707107
11,10,0.707107
12,9,0.707107
12,10,0.707107
13,0,0.707107
13,3,0.707107
13,12,0.707107
14,0,0.707107
14,3,0.707107
14,12,0.707107
14,13,0.707107
15,9,0.707107
15,10,0.707107
15,12,0.707107
15,13,0.707107
15,14,0.707107
16,1,0.707107
16,3,0.707107
16,13,0.707107
17,16,0.707107
18,1,0.707107
18,3,0.707107
18,7,0.707107
18,16,0.707107
18,17,0.707107
19,16,0.707107
19,17,0.707107
19,18,0.707107
20,1,0.707107
20,5,0.707107
20,7,0.707107
20,17,0.707107
20,18,0.707107
21,20,0.707107
22,5,0.707107
22,7,0.707107
22,11,0.707107
22,20,0.707107
22,21,0.707107
23,17,0.707107
23,18,0.707107
23,20,0.707107
23,21,0.707107
23,22,0.707107
24,5,0.707107
24,9,0.707107
24,11,0.707107
24,21,0.707107
24,22,0.707107
25,24,0.707107
26,9,0.707107
26,11,0.707107
26,15,0.707107
26,24,0.707107
26,25,0.707107
27,21,0.707107
27,22,0.707107
27,24,0.707107
27,25,0.707107
27,26,0.707107
28,9,0.707107
28,13,0.707107
28,15,0.707107
28,25,0.707107
28,26,0.707107
29,16,0.707107
29,19,0.707107
29,28,0.707107
30,3,0.707107
30,13,0.707107
30,15,0.707107
30,16,0.707107
30,19,0.707107
30,28,0.707107
30,29,0.707107
31,25,0.707107
31,26,0.707107
31,28,0.707107
31,29,0.707107
31,30,0.707107
32,17,0.707107
32,19,0.707107
32,29,0.707107
33,32,0.707107
34,17,0.707107
34,19,0.707107
34,23,0.707107
34,32,0.707107
34,33,0.707107
35,32,0.707107
35,33,0.707107
35,34,0.707107
36,17,0.707107
36,21,0.707107
36,23,0.707107
36,33,0.707107
36,34,0.707107
37,36,0.707107
38,21,0.707107
38,23,0.707107
38,27,0.707107
38,36,0.707107
38,37,0.707107
39,33,0.707107
39,34,0.707107
39,36,0.707107
39,37,0.707107
39,38,0.707107
40,21,0.707107
40,25,0.707107
40,27,0.707107
40,37,0.707107
40,38,0.707107
41,40,0.707107
42,25,0.707107
42,27,0.707107
42,31,0.707107
42,40,0.707107
42,41,0.707107
43,37,0.707107
43,38,0.707107
43,40,0.707107
43,41,0.707107
43,42,0.707107
44,25,0.707107
44,29,0.707107
44,31,0.707107
44,41,0.707107
44,42,0.707107
45,32,0.707107
45,35,0.707107
45,44,0.707107
46,19,0.707107
46,29,0.707107
46,31,0.707107
46,32,0.707107
46,35,0.707107
46,44,0.707107
46,45,0.707107
47,41,0.707107
47,42,0.707107
47,44,0.707107
47,45,0.707107
47,46,0.707107
48,33,0.707107
48,35,0.707107
48,45,0.707107
49,0,0.707107
49,2,0.707107
49,4,0.707107
49,48,0.707107
50,33,0.707107
50,35,0.707107
50,39,0.707107
50,48,0.707107
50,49,0.707107
51,0,0.707107
51,2,0.707107
51,14,0.707107
51,48,0.707107
51,49,0.707107
51,50,0.707107
52,33,0.707107
52,37,0.707107
52,39,0.707107
52,49,0.707107
52,50,0.707107
53,4,0.707107
53,6,0.707107
53,8,0.707107
53,52,0.707107
54,37,0.707107
54,39,0.707107
54,43,0.707107
54,52,0.707107
54,53,0.707107
55,2,0.707107
55,4,0.707107
55,6,0.707107
55,49,0.707107
55,50,0.707107
55,52,0.707107
55,53,0.707107
55,54,0.707107
56,37,0.707107
56,41,0.707107
56,43,0.707107
56,53,0.707107
56,54,0.707107
57,8,0.707107
57,10,0.707107
57,12,0.707107
57,56,0.707107
58,41,0.707107
58,43,0.707107
58,47,0.707107
58,56,0.707107
58,57,0.707107
59,6,0.707107
59,8,0.707107
59,10,0.707107
59,53,0.707107
59,54,0.707107
59,56,0.707107
59,57,0.707107
59,58,0.707107
60,41,0.707107
