Label_1,Label_2,Distance
0,0,0
0,1,1
0,3,1
0,4,1
0,12,1
0,16,1
0,48,1
1,0,1
1,1,0
1,2,1
1,5,1
1,13,1
1,17,1
1,49,1
2,1,1
2,2,0
2,3,1
2,6,1
2,14,1
2,18,1
2,50,1
3,0,1
3,2,1
3,3,0
3,7,1
3,15,1
3,19,1
3,51,1
4,0,1
4,4,0
4,5,1
4,7,1
4,8,1
4,20,1
4,52,1
5,1,1
5,4,1
5,5,0
5,6,1
5,9,1
5,21,1
5,53,1
6,2,1
6,5,1
6,6,0
6,7,1
6,10,1
6,22,1
6,54,1
7,3,1
7,4,1
7,6,1
7,7,0
7,11,1
7,23,1
7,55,1
8,4,1
8,8,0
8,9,1
8,11,1
8,12,1
8,24,1
8,56,1
9,5,1
9,8,1
9,9,0
9,10,1
9,13,1
9,25,1
9,57,1
10,6,1
10,9,1
10,10,0
10,11,1
10,14,1
10,26,1
10,58,1
11,7,1
11,8,1
11,10,1
11,11,0
11,15,1
11,27,1
11,59,1
12,0,1
12,8,1
12,12,0
12,13,1
12,15,1
12,28,1
12,60,1
13,1,1
13,9,1
13,12,1
13,13,0
13,14,1
13,29,1
13,61,1
14,2,1
14,10,1
14,13,1
14,14,0
14,15,1
14,30,1
14,62,1
15,3,1
15,11,1
15,12,1
15,14,1
15,15,0
15,31,1
15,63,1
16,0,1
16,16,0
16,17,1
16,19,1
16,20,1
16,28,1
16,32,1
17,1,1
17,16,1
17,17,0
17,18,1
17,21,1
17,29,1
17,33,1
18,2,1
18,17,1
18,18,0
18,19,1
18,22,1
18,30,1
18,34,1
19,3,1
19,16,1
19,18,1
19,19,0
19,23,1
19,31,1
19,35,1
20,4,1
20,16,1
20,20,0
20,21,1
20,23,1
20,24,1
20,36,1
21,5,1
21,17,1
21,20,1
21,21,0
21,22,1
21,25,1
21,37,1
22,6,1
22,18,1
22,21,1
22,22,0
22,23,1
22,26,1
22,38,1
23,7,1
23,19,1
23,20,1
23,22,1
23,23,0
23,27,1
23,39,1
24,8,1
24,20,1
24,24,0
24,25,1
24,27,1
24,28,1
24,40,1
25,9,1
25,21,1
25,24,1
25,25,0
25,26,1
25,29,1
25,41,1
26,10,1
26,22,1
26,25,1
26,26,0
26,27,1
26,30,1
26,42,1
27,11,1
27,23,1
27,24,1
27,26,1
27,27,0
27,31,1
27,43,1
28,12,1
28,16,1
28,24,1
28,28,0
28,29,1
28,31,1
28,44,1
29,13,1
29,17,1
29,25,1
29,28,1
29,29,0
29,30,1
29,45,1
30,14,1
30,18,1
30,26,1
30,29,1
30,30,0
30,31,1
30,46,1
31,15,1
31,19,1
31,27,1
31,28,1
31,30,1
31,31,0
31,47,1
32,16,1
32,32,0
32,33,1
32,35,1
32,36,1
32,44,1
32,48,1
33,17,1
33,32,1
33,33,0
33,34,1
33,37,1
33,45,1
33,49,1
34,18,1
34,33,1
34,34,0
34,35,1
34,38,1
34,46,1
34,50,1
35,19,1
35,32,1
35,34,1
35,35,0
35,39,1
35,47,1
35,51,1
36,20,1
36,32,1
36,36,0
36,37,1
36,39,1
36,40,1
36,52,1
37,21,1
37,33,1
37,36,1
37,37,0
37,38,1
37,41,1
37,53,1
38,22,1
38,34,1
38,37,1
38,38,0
38,39,1
38,42,1
38,54,1
39,23,1
39,35,1
39,36,1
39,38,1
39,39,0
39,43,1
39,55,1
40,24,1
40,36,1
40,40,0
40,41,1
40,43,1
40,44,1
40,56,1
41,25,1
41,37,1
41,40,1
41,41,0
41,42,1
41,45,1
41,57,1
42,26,1
42,38,1
42,41,1
42,42,0
42,43,1
42,46,1
42,58,1
43,27,1
43,39,1
43,40,1
43,42,1
43,43,0
43,47,1
43,59,1
44,28,1
44,32,1
44,40,1
44,44,0
44,45,1
44,47,1
44,60,1
45,29,1
45,33,1
45,41,1
45,44,1
45,45,0
45,46,1
45,61,1
46,30,1
46,34,1
46,42,1
46,45,1
46,46,0
46,47,1
46,62,1
47,31,1
47,35,1
47,43,1
47,44,1
47,46,1
47,47,0
47,63,1
48,0,1
48,32,1
48,48,0
48,49,1
48,51,1
48,52,1
48,60,1
49,1,1
49,33,1
49,48,1
49,49,0
49,50,1
49,53,1
49,61,1
50,2,1
50,34,1
50,49,1
50,50,0
50,51,1
50,54,1
50,62,1
51,3,1
51,35,1
51,48,1
51,50,1
51,51,0
51,55,1
51,63,1
52,4,1
52,36,1
52,48,1
52,52,0
52,53,1
52,55,1
52,56,1
53,5,1
53,37,1
53,49,1
53,52,1
53,53,0
53,54,1
53,57,1
54,6,1
54,38,1
54,50,1
54,53,1
54,54,0
54,55,1
54,58,1
55,7,1
55,39,1
55,51,1
55,52,1
55,54,1
55,55,0
55,59,1
56,8,1
56,40,1
56,52,1
56,56,0
56,57,1
56,59,1
56,60,1
57,9,1
57,41,1
57,53,1
57,56,1
57,57,0
57,58,1
57,61,1
58,10,1
58,42,1
58,54,1
58,57,1
58,58,0
58,59,1
58,62,1
59,11,1
59,43,1
59,55,1
59,56,1
59,58,1
59,59,0
59,63,1
60,12,1
60,44,1
60,48,1
60,56,1
60,60,0
60,61,1
60,63,1
61,13,1
61,45,1
61,49,1
61,57,1
61,60,1
61,61,0
61,62,1
62,14,1
62,46,1
62,50,1
62,58,1
62,61,1
62,62,0
62,63,1
63,15,1
63,47,1
63,51,1
63,59,1
63,60,1
63,62,1
63,63,0
