Label_1,Label_2,Distance
0,4,2.35126
0,285,2.35126
0,1486,2.35126
0,1687,2.35126
1,4,2.35126
1,5,2.35126
1,1446,2.35126
1,1447,2.35126
2,4,2.35126
2,6,2.35126
2,245,2.35126
2,247,2.35126
3,4,2.35126
3,7,2.35126
3,45,2.35126
3,46,2.35126
4,0,2.35126
4,1,2.35126
4,2,2.35126
4,3,2.35126
5,1,2.35126
5,11,2.35126
5,50,2.35126
5,56,2.35126
6,2,2.35126
6,11,2.35126
6,289,2.35126
6,296,2.35126
7,3,2.35126
7,50,2.35126
7,289,2.35126
7,336,2.35126
8,12,2.35126
8,245,2.35126
8,1446,2.35126
8,1695,2.35126
9,12,2.35126
9,13,2.35126
9,1454,2.35126
9,1455,2.35126
10,12,2.35126
10,14,2.35126
10,253,2.35126
10,255,2.35126
11,5,2.35126
11,6,2.35126
11,12,2.35126
11,15,2.35126
12,8,2.35126
12,9,2.35126
12,10,2.35126
12,11,2.35126
13,9,2.35126
13,19,2.35126
13,58,2.35126
13,64,2.35126
14,10,2.35126
14,19,2.35126
14,297,2.35126
14,304,2.35126
15,11,2.35126
15,58,2.35126
15,297,2.35126
15,344,2.35126
16,20,2.35126
16,253,2.35126
16,1454,2.35126
16,1703,2.35126
17,20,2.35126
17,21,2.35126
17,1462,2.35126
17,1463,2.35126
18,20,2.35126
18,22,2.35126
18,261,2.35126
18,263,2.35126
19,13,2.35126
19,14,2.35126
19,20,2.35126
19,23,2.35126
20,16,2.35126
20,17,2.35126
20,18,2.35126
20,19,2.35126
21,17,2.35126
21,27,2.35126
21,66,2.35126
21,72,2.35126
22,18,2.35126
22,27,2.35126
22,305,2.35126
22,312,2.35126
23,19,2.35126
23,66,2.35126
23,305,2.35126
23,352,2.35126
24,28,2.35126
24,261,2.35126
24,1462,2.35126
24,1711,2.35126
25,28,2.35126
25,29,2.35126
25,1470,2.35126
25,1471,2.35126
26,28,2.35126
26,30,2.35126
26,269,2.35126
26,271,2.35126
27,21,2.35126
27,22,2.35126
27,28,2.35126
27,31,2.35126
28,24,2.35126
28,25,2.35126
28,26,2.35126
28,27,2.35126
29,25,2.35126
29,35,2.35126
29,74,2.35126
29,80,2.35126
30,26,2.35126
30,35,2.35126
30,313,2.35126
30,320,2.35126
31,27,2.35126
31,74,2.35126
31,313,2.35126
31,360,2.35126
32,36,2.35126
32,269,2.35126
32,1470,2.35126
32,1719,2.35126
33,36,2.35126
33,37,2.35126
33,1478,2.35126
33,1479,2.35126
34,36,2.35126
34,38,2.35126
34,277,2.35126
34,279,2.35126
35,29,2.35126
35,30,2.35126
35,36,2.35126
35,39,2.35126
36,32,2.35126
36,33,2.35126
36,34,2.35126
36,35,2.35126
37,33,2.35126
37,43,2.35126
37,82,2.35126
37,88,2.35126
38,34,2.35126
38,43,2.35126
38,321,2.35126
38,328,2.35126
39,35,2.35126
39,82,2.35126
39,321,2.35126
39,368,2.35126
40,44,2.35126
40,277,2.35126
40,1478,2.35126
40,1727,2.35126
41,44,2.35126
41,45,2.35126
41,1486,2.35126
41,1487,2.35126
42,44,2.35126
42,46,2.35126
42,285,2.35126
42,287,2.35126
43,37,2.35126
43,38,2.35126
43,44,2.35126
43,47,2.35126
44,40,2.35126
44,41,2.35126
44,42,2.35126
44,43,2.35126
45,3,2.35126
45,41,2.35126
45,48,2.35126
45,90,2.35126
46,3,2.35126
46,42,2.35126
46,288,2.35126
46,329,2.35126
47,43,2.35126
47,90,2.35126
47,329,2.35126
47,376,2.35126
48,45,2.35126
48,52,2.35126
48,1447,2.35126
48,1534,2.35126
49,52,2.35126
49,53,2.35126
49,1494,2.35126
49,1495,2.35126
50,5,2.35126
50,7,2.35126
50,52,2.35126
50,54,2.35126
51,52,2.35126
51,55,2.35126
51,93,2.35126
51,94,2.35126
52,48,2.35126
52,49,2.35126
52,50,2.35126
52,51,2.35126
53,49,2.35126
53,59,2.35126
53,98,2.35126
53,104,2.35126
54,50,2.35126
54,59,2.35126
54,337,2.35126
54,344,2.35126
55,51,2.35126
55,98,2.35126
55,337,2.35126
55,384,2.35126
56,5,2.35126
56,60,2.35126
56,1455,2.35126
56,1494,2.35126
57,60,2.35126
57,61,2.35126
57,1502,2.35126
57,1503,2.35126
58,13,2.35126
58,15,2.35126
58,60,2.35126
58,62,2.35126
59,53,2.35126
59,54,2.35126
59,60,2.35126
59,63,2.35126
60,56,2.35126
60,57,2.35126
60,58,2.35126
60,59,2.35126
61,57,2.35126
61,67,2.35126
61,106,2.35126
61,112,2.35126
62,58,2.35126
62,67,2.35126
62,345,2.35126
62,352,2.35126
63,59,2.35126
63,106,2.35126
63,345,2.35126
63,392,2.35126
64,13,2.35126
64,68,2.35126
64,1463,2.35126
64,1502,2.35126
65,68,2.35126
65,69,2.35126
65,1510,2.35126
65,1511,2.35126
66,21,2.35126
66,23,2.35126
66,68,2.35126
66,70,2.35126
67,61,2.35126
67,62,2.35126
67,68,2.35126
67,71,2.35126
68,64,2.35126
68,65,2.35126
68,66,2.35126
68,67,2.35126
69,65,2.35126
69,75,2.35126
69,114,2.35126
69,120,2.35126
70,66,2.35126
70,75,2.35126
70,353,2.35126
70,360,2.35126
71,67,2.35126
71,114,2.35126
71,353,2.35126
71,400,2.35126
72,21,2.35126
72,76,2.35126
72,1471,2.35126
72,1510,2.35126
73,76,2.35126
73,77,2.35126
73,1518,2.35126
73,1519,2.35126
74,29,2.35126
74,31,2.35126
74,76,2.35126
74,78,2.35126
75,69,2.35126
75,70,2.35126
75,76,2.35126
75,79,2.35126
76,72,2.35126
76,73,2.35126
76,74,2.35126
76,75,2.35126
77,73,2.35126
77,83,2.35126
77,122,2.35126
77,128,2.35126
78,74,2.35126
78,83,2.35126
78,361,2.35126
78,368,2.35126
79,75,2.35126
79,122,2.35126
79,361,2.35126
79,408,2.35126
80,29,2.35126
80,84,2.35126
80,1479,2.35126
80,1518,2.35126
81,84,2.35126
81,85,2.35126
81,1526,2.35126
81,1527,2.35126
82,37,2.35126
82,39,2.35126
82,84,2.35126
82,86,2.35126
83,77,2.35126
83,78,2.35126
83,84,2.35126
83,87,2.35126
84,80,2.35126
84,81,2.35126
84,82,2.35126
84,83,2.35126
85,81,2.35126
85,91,2.35126
85,130,2.35126
85,136,2.35126
86,82,2.35126
86,91,2.35126
86,369,2.35126
86,376,2.35126
87,83,2.35126
87,130,2.35126
87,369,2.35126
87,416,2.35126
88,37,2.35126
88,92,2.35126
88,1487,2.35126
88,1526,2.35126
89,92,2.35126
89,93,2.35126
89,1534,2.35126
89,1535,2.35126
90,45,2.35126
90,47,2.35126
90,92,2.35126
90,94,2.35126
91,85,2.35126
91,86,2.35126
91,92,2.35126
91,95,2.35126
92,88,2.35126
92,89,2.35126
92,90,2.35126
92,91,2.35126
93,51,2.35126
93,89,2.35126
93,96,2.35126
93,138,2.35126
94,51,2.35126
94,90,2.35126
94,336,2.35126
94,377,2.35126
95,91,2.35126
95,138,2.35126
95,377,2.35126
95,424,2.35126
96,93,2.35126
96,100,2.35126
96,1495,2.35126
96,1582,2.35126
97,100,2.35126
97,101,2.35126
97,1542,2.35126
97,1543,2.35126
98,53,2.35126
98,55,2.35126
98,100,2.35126
98,102,2.35126
99,100,2.35126
99,103,2.35126
99,141,2.35126
99,142,2.35126
100,96,2.35126
100,97,2.35126
100,98,2.35126
100,99,2.35126
101,97,2.35126
101,107,2.35126
101,146,2.35126
101,152,2.35126
102,98,2.35126
102,107,2.35126
102,385,2.35126
102,392,2.35126
103,99,2.35126
103,146,2.35126
103,385,2.35126
103,432,2.35126
104,53,2.35126
104,108,2.35126
104,1503,2.35126
