Label_1,Label_2,Distance
0,1,3.75474
0,2,3.75474
0,3,3.75474
0,4,5.31
0,5,8.39585
0,6,8.39585
0,7,6.5034
0,25,8.39585
0,26,8.39585
0,28,5.31
0,29,3.75474
0,30,3.75474
0,31,6.5034
0,32,5.31
0,33,8.39585
0,34,6.5034
0,35,8.39585
0,36,7.50947
0,60,7.50947
0,61,8.39585
0,62,6.5034
0,193,8.39585
0,195,8.39585
0,221,8.39585
0,224,5.31
0,225,3.75474
0,226,6.5034
0,227,3.75474
0,228,7.50947
0,229,8.39585
0,231,6.5034
0,249,8.39585
0,252,7.50947
0,253,3.75474
0,254,6.5034
0,255,6.5034
0,256,5.31
0,257,6.5034
0,258,8.39585
0,259,8.39585
0,260,7.50947
0,284,7.50947
0,285,6.5034
0,286,8.39585
0,288,7.50947
0,480,7.50947
0,481,6.5034
0,483,8.39585
0,509,6.5034
0,1538,8.39585
0,1539,8.39585
0,1566,8.39585
0,1763,8.39585
0,1792,5.31
0,1793,6.5034
0,1794,3.75474
0,1795,3.75474
0,1796,7.50947
0,1798,8.39585
0,1799,6.5034
0,1818,8.39585
0,1820,7.50947
0,1821,6.5034
0,1822,3.75474
0,1823,6.5034
0,1824,7.50947
0,1826,6.5034
0,1827,8.39585
0,1854,6.5034
0,1987,8.39585
0,2016,7.50947
0,2017,6.5034
0,2018,6.5034
0,2019,3.75474
0,2023,6.5034
0,2045,6.5034
0,2046,6.5034
0,2047,6.5034
1,0,3.75474
1,2,3.75474
1,3,3.75474
1,4,3.75474
1,5,5.31
1,6,6.5034
1,7,3.75474
1,8,8.39585
1,11,8.39585
1,28,8.39585
1,29,5.31
1,30,6.5034
1,31,8.39585
1,32,3.75474
1,33,5.31
1,34,3.75474
1,35,6.5034
1,36,3.75474
1,37,7.50947
1,38,6.5034
1,39,6.5034
1,40,8.39585
1,60,8.39585
1,61,7.50947
1,62,6.5034
1,64,8.39585
1,66,8.39585
1,68,8.39585
1,224,8.39585
1,225,5.31
1,226,8.39585
1,227,6.5034
1,228,8.39585
1,229,7.50947
1,231,6.5034
1,253,7.50947
1,256,6.5034
1,257,5.31
1,258,8.39585
1,259,8.39585
1,260,6.5034
1,261,7.50947
1,263,8.39585
1,285,7.50947
1,288,6.5034
1,289,7.50947
1,290,8.39585
1,292,6.5034
1,481,7.50947
1,1538,8.39585
1,1539,8.39585
1,1543,8.39585
1,1570,8.39585
1,1792,6.5034
1,1793,5.31
1,1794,3.75474
1,1795,3.75474
1,1796,6.5034
1,1797,7.50947
1,1798,6.5034
1,1799,3.75474
1,1803,8.39585
1,1821,7.50947
1,1822,6.5034
1,1823,8.39585
1,1824,6.5034
1,1825,7.50947
1,1826,3.75474
1,1827,6.5034
1,1828,6.5034
1,1830,6.5034
1,1831,6.5034
1,1854,6.5034
1,1858,8.39585
1,2017,7.50947
1,2018,8.39585
1,2019,6.5034
1,2023,6.5034
2,0,3.75474
2,1,3.75474
2,3,3.75474
2,4,3.75474
2,5,6.5034
2,6,5.31
2,7,3.75474
2,8,8.39585
2,11,8.39585
2,28,8.39585
2,29,6.5034
2,30,5.31
2,31,8.39585
2,32,6.5034
2,33,8.39585
2,34,5.31
2,35,8.39585
2,36,6.5034
2,38,7.50947
2,39,8.39585
2,62,7.50947
2,193,8.39585
2,195,8.39585
2,199,8.39585
2,224,6.5034
2,225,3.75474
2,226,5.31
2,227,3.75474
2,228,6.5034
2,229,6.5034
2,230,7.50947
2,231,3.75474
2,235,8.39585
2,253,6.5034
2,254,7.50947
2,255,8.39585
2,256,3.75474
2,257,3.75474
2,258,5.31
2,259,6.5034
2,260,3.75474
2,261,6.5034
2,262,7.50947
2,263,6.5034
2,264,8.39585
2,284,8.39585
2,285,6.5034
2,286,7.50947
2,288,6.5034
2,289,8.39585
2,290,7.50947
2,292,6.5034
2,449,8.39585
2,480,6.5034
2,481,3.75474
2,482,7.50947
2,483,6.5034
2,484,6.5034
2,485,6.5034
2,487,6.5034
2,509,6.5034
2,512,8.39585
2,513,8.39585
2,516,8.39585
2,737,8.39585
2,1792,8.39585
2,1793,8.39585
2,1794,5.31
2,1795,6.5034
2,1796,8.39585
2,1798,7.50947
2,1799,6.5034
2,1822,7.50947
2,1826,7.50947
2,2017,8.39585
2,2018,7.50947
2,2019,6.5034
2,2023,6.5034
3,0,3.75474
3,1,3.75474
3,2,3.75474
3,4,6.5034
3,5,8.39585
3,6,8.39585
3,7,5.31
3,25,8.39585
3,26,8.39585
3,28,6.5034
3,29,3.75474
3,30,3.75474
3,31,5.31
3,32,3.75474
3,33,6.5034
3,34,3.75474
3,35,5.31
3,36,6.5034
3,38,8.39585
3,39,7.50947
3,58,8.39585
3,60,6.5034
3,61,6.5034
3,62,3.75474
3,63,7.50947
3,64,8.39585
3,66,8.39585
3,94,8.39585
3,224,8.39585
3,225,6.5034
3,226,8.39585
3,227,5.31
3,231,7.50947
3,253,6.5034
3,254,8.39585
3,255,7.50947
3,256,3.75474
3,257,3.75474
3,258,6.5034
3,259,5.31
3,260,6.5034
3,261,8.39585
3,263,7.50947
3,281,8.39585
3,284,6.5034
3,285,3.75474
3,286,6.5034
3,287,7.50947
3,288,3.75474
3,289,6.5034
3,290,6.5034
3,291,7.50947
3,292,6.5034
3,316,6.5034
3,317,6.5034
3,318,6.5034
3,320,8.39585
3,480,8.39585
3,481,6.5034
3,483,7.50947
3,509,6.5034
3,512,8.39585
3,513,8.39585
3,541,8.39585
3,544,8.39585
3,1792,8.39585
3,1793,8.39585
3,1794,6.5034
3,1795,5.31
3,1799,7.50947
3,1821,8.39585
3,1822,6.5034
3,1823,7.50947
3,1824,8.39585
3,1826,6.5034
