Label_1,Label_2,Distance
0,4,2.35126
0,29,2.35126
0,46,2.35126
0,55,2.35126
1,4,2.35126
1,5,2.35126
1,38,2.35126
1,39,2.35126
2,4,2.35126
2,6,2.35126
2,21,2.35126
2,23,2.35126
3,4,2.35126
3,7,2.35126
3,13,2.35126
3,14,2.35126
4,0,2.35126
4,1,2.35126
4,2,2.35126
4,3,2.35126
5,1,2.35126
5,11,2.35126
5,18,2.35126
5,24,2.35126
6,2,2.35126
6,11,2.35126
6,33,2.35126
6,40,2.35126
7,3,2.35126
7,18,2.35126
7,33,2.35126
7,48,2.35126
8,12,2.35126
8,21,2.35126
8,38,2.35126
8,63,2.35126
9,12,2.35126
9,13,2.35126
9,46,2.35126
9,47,2.35126
10,12,2.35126
10,14,2.35126
10,29,2.35126
10,31,2.35126
11,5,2.35126
11,6,2.35126
11,12,2.35126
11,15,2.35126
12,8,2.35126
12,9,2.35126
12,10,2.35126
12,11,2.35126
13,3,2.35126
13,9,2.35126
13,16,2.35126
13,26,2.35126
14,3,2.35126
14,10,2.35126
14,32,2.35126
14,41,2.35126
15,11,2.35126
15,26,2.35126
15,41,2.35126
15,56,2.35126
16,13,2.35126
16,20,2.35126
16,39,2.35126
16,62,2.35126
17,20,2.35126
17,21,2.35126
17,54,2.35126
17,55,2.35126
18,5,2.35126
18,7,2.35126
18,20,2.35126
18,22,2.35126
19,20,2.35126
19,23,2.35126
19,29,2.35126
19,30,2.35126
20,16,2.35126
20,17,2.35126
20,18,2.35126
20,19,2.35126
21,2,2.35126
21,8,2.35126
21,17,2.35126
21,27,2.35126
22,18,2.35126
22,27,2.35126
22,49,2.35126
22,56,2.35126
23,2,2.35126
23,19,2.35126
23,32,2.35126
23,49,2.35126
24,5,2.35126
24,28,2.35126
24,47,2.35126
24,54,2.35126
25,28,2.35126
25,29,2.35126
25,62,2.35126
25,63,2.35126
26,13,2.35126
26,15,2.35126
26,28,2.35126
26,30,2.35126
27,21,2.35126
27,22,2.35126
27,28,2.35126
27,31,2.35126
28,24,2.35126
28,25,2.35126
28,26,2.35126
28,27,2.35126
29,0,2.35126
29,10,2.35126
29,19,2.35126
29,25,2.35126
30,19,2.35126
30,26,2.35126
30,48,2.35126
30,57,2.35126
31,10,2.35126
31,27,2.35126
31,40,2.35126
31,57,2.35126
32,14,2.35126
32,23,2.35126
32,36,2.35126
32,61,2.35126
33,6,2.35126
33,7,2.35126
33,36,2.35126
33,37,2.35126
34,36,2.35126
34,38,2.35126
34,53,2.35126
34,55,2.35126
35,36,2.35126
35,39,2.35126
35,45,2.35126
35,46,2.35126
36,32,2.35126
36,33,2.35126
36,34,2.35126
36,35,2.35126
37,33,2.35126
37,43,2.35126
37,50,2.35126
37,56,2.35126
38,1,2.35126
38,8,2.35126
38,34,2.35126
38,43,2.35126
39,1,2.35126
39,16,2.35126
39,35,2.35126
39,50,2.35126
40,6,2.35126
40,31,2.35126
40,44,2.35126
40,53,2.35126
41,14,2.35126
41,15,2.35126
41,44,2.35126
41,45,2.35126
42,44,2.35126
42,46,2.35126
42,61,2.35126
42,63,2.35126
43,37,2.35126
43,38,2.35126
43,44,2.35126
43,47,2.35126
44,40,2.35126
44,41,2.35126
44,42,2.35126
44,43,2.35126
45,35,2.35126
45,41,2.35126
45,48,2.35126
45,58,2.35126
46,0,2.35126
46,9,2.35126
46,35,2.35126
46,42,2.35126
47,9,2.35126
47,24,2.35126
47,43,2.35126
47,58,2.35126
48,7,2.35126
48,30,2.35126
48,45,2.35126
48,52,2.35126
49,22,2.35126
49,23,2.35126
49,52,2.35126
49,53,2.35126
50,37,2.35126
50,39,2.35126
50,52,2.35126
50,54,2.35126
51,52,2.35126
51,55,2.35126
51,61,2.35126
51,62,2.35126
52,48,2.35126
52,49,2.35126
52,50,2.35126
52,51,2.35126
53,34,2.35126
53,40,2.35126
53,49,2.35126
53,59,2.35126
54,17,2.35126
54,24,2.35126
54,50,2.35126
54,59,2.35126
55,0,2.35126
55,17,2.35126
55,34,2.35126
55,51,2.35126
56,15,2.35126
56,22,2.35126
56,37,2.35126
56,60,2.35126
57,30,2.35126
57,31,2.35126
57,60,2.35126
57,61,2.35126
58,45,2.35126
58,47,2.35126
58,60,2.35126
58,62,2.35126
59,53,2.35126
59,54,2.35126
59,60,2.35126
59,63,2.35126
60,56,2.35126
60,57,2.35126
60,58,2.35126
60,59,2.35126
61,32,2.35126
61,42,2.35126
61,51,2.35126
61,57,2.35126
62,16,2.35126
62,25,2.35126
62,51,2.35126
62,58,2.35126
63,8,2.35126
63,25,2.35126
63,42,2.35126
63,59,2.35126
