Label_1,Label_2,Distance
1,0,1
2,1,1
3,2,1
4,3,1
5,0,1
5,4,1
6,0,1
7,1,1
7,6,1
8,2,1
8,7,1
9,3,1
9,8,1
10,4,1
10,9,1
11,5,1
11,6,1
11,10,1
12,6,1
13,7,1
13,12,1
14,8,1
14,13,1
15,9,1
15,14,1
16,10,1
16,15,1
17,11,1
17,12,1
17,16,1
18,12,1
19,13,1
19,18,1
20,14,1
20,19,1
21,15,1
21,20,1
22,16,1
22,21,1
23,17,1
23,18,1
23,22,1
24,18,1
25,19,1
25,24,1
26,20,1
26,25,1
27,21,1
27,26,1
28,22,1
28,27,1
29,23,1
29,24,1
29,28,1
30,0,1
30,24,1
31,1,1
31,25,1
31,30,1
32,2,1
32,26,1
32,31,1
33,3,1
33,27,1
33,32,1
34,4,1
34,28,1
34,33,1
35,5,1
35,29,1
35,30,1
35,34,1
36,0,1
37,1,1
37,36,1
38,2,1
38,37,1
39,3,1
39,38,1
40,4,1
40,39,1
41,5,1
41,36,1
41,40,1
42,6,1
42,36,1
43,7,1
43,37,1
43,42,1
44,8,1
44,38,1
44,43,1
45,9,1
45,39,1
45,44,1
46,10,1
46,40,1
46,45,1
47,11,1
47,41,1
47,42,1
47,46,1
48,12,1
48,42,1
49,13,1
49,43,1
49,48,1
50,14,1
50,44,1
50,49,1
51,15,1
51,45,1
51,50,1
52,16,1
52,46,1
52,51,1
53,17,1
53,47,1
53,48,1
53,52,1
54,18,1
54,48,1
55,19,1
55,49,1
55,54,1
56,20,1
56,50,1
56,55,1
57,21,1
57,51,1
57,56,1
58,22,1
58,52,1
58,57,1
59,23,1
59,53,1
59,54,1
59,58,1
60,24,1
60,54,1
61,25,1
61,55,1
61,60,1
62,26,1
62,56,1
62,61,1
63,27,1
63,57,1
63,62,1
64,28,1
64,58,1
64,63,1
65,29,1
65,59,1
65,60,1
65,64,1
66,30,1
66,36,1
66,60,1
67,31,1
67,37,1
67,61,1
67,66,1
68,32,1
68,38,1
68,62,1
68,67,1
69,33,1
69,39,1
69,63,1
69,68,1
70,34,1
70,40,1
70,64,1
70,69,1
71,35,1
71,41,1
71,65,1
71,66,1
71,70,1
72,36,1
73,37,1
73,72,1
74,38,1
74,73,1
75,39,1
75,74,1
76,40,1
76,75,1
77,41,1
77,72,1
77,76,1
78,42,1
78,72,1
79,43,1
79,73,1
79,78,1
80,44,1
80,74,1
80,79,1
81,45,1
81,75,1
81,80,1
82,46,1
82,76,1
82,81,1
83,47,1
83,77,1
83,78,1
83,82,1
84,48,1
84,78,1
85,49,1
85,79,1
85,84,1
86,50,1
86,80,1
86,85,1
87,51,1
87,81,1
87,86,1
88,52,1
88,82,1
88,87,1
89,53,1
89,83,1
89,84,1
89,88,1
90,54,1
90,84,1
91,55,1
91,85,1
91,90,1
92,56,1
92,86,1
92,91,1
93,57,1
93,87,1
93,92,1
94,58,1
94,88,1
94,93,1
95,59,1
95,89,1
95,90,1
95,94,1
96,60,1
96,90,1
97,61,1
97,91,1
97,96,1
98,62,1
98,92,1
98,97,1
99,63,1
99,93,1
99,98,1
100,64,1
100,94,1
100,99,1
101,65,1
101,95,1
101,96,1
101,100,1
102,66,1
102,72,1
102,96,1
103,67,1
103,73,1
103,97,1
103,102,1
104,68,1
